customer_code,Sub_Type_V2,revenue,tot_revenue,subtype_weight
CASH-THOR,LSSL,2075.91,133405.26,0.0155
CASH-THOR,EVB,2222.86,133405.26,0.0166
CASH-THOR,HCPE,2508.34,133405.26,0.0188
CASH-THOR,GRA,2562.15,133405.26,0.0192
CASH-THOR,CHA,2585.84,133405.26,0.0193
CASH-THOR,CMPT,3334.08,133405.26,0.0249
CASH-THOR,YDS,3958.63,133405.26,0.0296
CASH-THOR,EVTI,4298.95,133405.26,0.0322
CASH-THOR,CPHP,5023.74,133405.26,0.0376
CASH-THOR,FJC,5248.3,133405.26,0.0393
CASH-THOR,EVBR,5637.16,133405.26,0.0422
CASH-THOR,TQW,5861.48,133405.26,0.0439
CASH-THOR,HTP,6548.75,133405.26,0.049
CASH-THOR,VMH,6844.4,133405.26,0.0513
CASH-THOR,CHB,9909.92,133405.26,0.0742
CASH-THOR,CPW,11400.89,133405.26,0.0854
CASH-THOR,CVY,22379.89,133405.26,0.1677
CASH-UNAS,LRLR,20.2,108065.94,0.0001
CASH-UNAS,IFL,27.15,108065.94,0.0002
CASH-UNAS,WHPR,28.28,108065.94,0.0002
CASH-UNAS,GPL,56.57,108065.94,0.0005
CASH-UNAS,PLTT,57.37,108065.94,0.0005
CASH-UNAS,CMXR,55.76,108065.94,0.0005
CASH-UNAS,HV3,75,108065.94,0.0006
CASH-UNAS,TRFU,71.91,108065.94,0.0006
CASH-UNAS,RCS,80,108065.94,0.0007
CASH-UNAS,LMWR,78.33,108065.94,0.0007
CASH-UNAS,CTM,85,108065.94,0.0007
CASH-UNAS,VBFX,117.06,108065.94,0.001
CASH-UNAS,TPG,118.8,108065.94,0.001
CASH-UNAS,DUNI,166.7,108065.94,0.0015
CASH-UNAS,ARW,200,108065.94,0.0018
CASH-UNAS,DRLH,224.95,108065.94,0.002
CASH-UNAS,SOS,220,108065.94,0.002
CASH-UNAS,LT,266.66,108065.94,0.0024
CASH-UNAS,SAW.1,278.19,108065.94,0.0025
CASH-UNAS,DLV,290.92,108065.94,0.0026
CASH-UNAS,CSET,335.34,108065.94,0.0031
CASH-UNAS,PRK,505.06,108065.94,0.0046
CASH-UNAS,SMOK,533.34,108065.94,0.0049
CASH-UNAS,P&C,616,108065.94,0.0057
CASH-UNAS,VCWD,632.08,108065.94,0.0058
CASH-UNAS,WTRB,703.02,108065.94,0.0065
CASH-UNAS,PUSU,772.49,108065.94,0.0071
CASH-UNAS,GEN,1021.78,108065.94,0.0094
CASH-UNAS,BRDR,1039.6,108065.94,0.0096
CASH-UNAS,GDK,1152.79,108065.94,0.0106
CASH-UNAS,PC,1314.35,108065.94,0.0121
CASH-UNAS,DSAW.1,1772.61,108065.94,0.0164
CASH-UNAS,WDMA,2126.88,108065.94,0.0196
CASH-UNAS,PUSM,3489.98,108065.94,0.0322
CASH-UNAS,TLI,4224.7,108065.94,0.039
CASH-UNAS,PUSL,23838.02,108065.94,0.2205
CASH-UNAS,MSB,25011.45,108065.94,0.2314
CASH-UNAS,PULG,36457.6,108065.94,0.3373
CAST6003,OVEN,18,6484,0.0027
CAST6003,RFG,18,6484,0.0027
CAST6003,AIRC,40.5,6484,0.0062
CAST6003,COOL,716,6484,0.1104
CAST6003,TPB,800,6484,0.1233
CAST6003,ABL,1841.5,6484,0.284
CAST6003,SBL,3050,6484,0.4703
CAST9700,MSB,5400,5400,1
CASU6001,GEN.1,869.44,14907.79,0.0583
CASU6001,TPB,1273.95,14907.79,0.0854
