
kMeans
======

Number of iterations: 8
Within cluster sum of squared errors: 814.879055882926

Cluster centroids:
                         Cluster#
Attribute    Full Data          0          1          2          3          4          5          6          7          8          9
                 (446)        (3)        (8)      (100)       (37)      (210)        (1)       (33)       (13)        (8)       (33)
====================================================================================================================================
type18          0.0072          0          0          0          0     0.0015          0     0.0796          0          0     0.0081
type19          0.0073          0     0.0212     0.0056     0.0021     0.0055          0     0.0038      0.043     0.0505      0.006
type20           0.002     0.0009     0.0002     0.0029     0.0003     0.0008          0     0.0005     0.0301          0          0
type21          0.0007          0          0          0          0     0.0014          0          0          0     0.0009          0
type22          0.0085          0          0     0.0057     0.0013      0.015          0          0     0.0035          0          0
type23          0.0002          0          0     0.0005          0     0.0001          0     0.0002     0.0004     0.0003          0
type24          0.0003          0          0     0.0005     0.0001     0.0004          0     0.0002     0.0009     0.0006          0
type25          0.0749     0.0007     0.0387     0.2292     0.0445     0.0348     0.0083     0.0202     0.0174     0.0161     0.0054
type26          0.0093          0          0     0.0079     0.0086      0.012          0      0.004     0.0018          0     0.0107
type27          0.0005          0          0          0     0.0014     0.0001          0     0.0031          0     0.0001      0.001
type28           0.011     0.0046     0.0063     0.0131     0.0099     0.0068          0     0.0017     0.1256     0.0025     0.0004
type29           0.001     0.0012     0.0003     0.0008     0.0041     0.0007          0     0.0003     0.0015     0.0002     0.0007
type30          0.0018          0     0.0003     0.0006     0.0009     0.0031          0          0     0.0005          0     0.0022
type31          0.0004          0     0.0006          0     0.0008     0.0007          0          0          0     0.0007     0.0001
type32          0.0015          0     0.0017      0.001     0.0001     0.0022          0          0     0.0032     0.0026     0.0014
type33           0.001          0     0.0006      0.001     0.0019     0.0008          0          0     0.0038     0.0024     0.0006
type34          0.0001          0          0          0          0     0.0002          0          0          0          0          0
type35          0.0768          0     0.0222     0.0645     0.0047      0.124          0     0.0129     0.0059     0.0713     0.0105
type36               0          0          0          0     0.0002          0          0          0          0          0          0
type37          0.0017          0     0.0001     0.0017     0.0035     0.0017          0     0.0006     0.0056          0     0.0003
type38          0.0038          0     0.0008     0.0014     0.0014     0.0065          0          0     0.0007          0     0.0042
type39          0.0014          0     0.0022     0.0007     0.0028     0.0015          0          0          0     0.0014     0.0033
type40          0.0092          0     0.0002     0.0103     0.0017      0.013     0.0044     0.0014     0.0003     0.0132     0.0038
type41          0.0053     0.0929     0.0039     0.0026     0.0082     0.0055          0     0.0003     0.0009     0.0003     0.0094
type42               0          0          0          0          0          0          0          0          0          0          0
type43           0.016     0.0018     0.0067     0.0159     0.0462     0.0118          0     0.0061     0.0553     0.0051       0.01
type44          0.0013          0          0          0          0     0.0027          0          0          0          0          0
type45          0.0013          0     0.0009     0.0013     0.0009     0.0008          0     0.0007     0.0085          0     0.0028
type46               0          0          0          0     0.0001          0          0          0          0          0     0.0001
type47          0.0001          0     0.0001          0     0.0001          0          0          0     0.0001          0     0.0003
type48          0.0023     0.0026          0     0.0006     0.0001     0.0041          0          0     0.0011     0.0079     0.0007
type49          0.0002          0          0     0.0002     0.0006     0.0002          0          0     0.0004          0     0.0005
type50          0.0004          0     0.0019     0.0004     0.0005     0.0003          0          0     0.0027     0.0004          0
type51          0.0041          0     0.0101     0.0017     0.0015     0.0063          0          0     0.0003          0     0.0056
type52          0.0174     0.0176      0.021      0.016     0.0416     0.0157     0.0048     0.0104     0.0196     0.0213     0.0097
type53          0.0015          0          0     0.0005          0     0.0018          0          0          0     0.0242     0.0014
type54          0.0001          0          0          0          0     0.0001          0          0          0     0.0011          0
type55          0.0014     0.0021          0     0.0001          0     0.0026          0          0      0.001     0.0052     0.0001
type56          0.0005          0          0     0.0002     0.0005     0.0009          0          0          0          0          0
type57          0.0011          0          0     0.0006          0      0.002          0          0          0     0.0002     0.0005
type58          0.0014      0.001          0     0.0018     0.0042     0.0008          0     0.0019     0.0009          0      0.001
type59          0.0048          0     0.0014      0.007     0.0053     0.0048          0     0.0038     0.0018          0     0.0018
type60          0.0002          0     0.0001     0.0005          0     0.0001          0     0.0001          0          0          0
type61          0.0039          0          0          0          0     0.0081          0          0          0          0     0.0008
type62          0.0019     0.0016     0.0001     0.0049     0.0004     0.0007          0     0.0009     0.0117          0          0
type63          0.0326          0     0.0142      0.024      0.006     0.0528          0     0.0104     0.0001     0.0417     0.0014
type64          0.0013          0          0     0.0006          0     0.0011          0          0          0     0.0272     0.0021
type65          0.0009     0.0017          0     0.0009     0.0009      0.001          0     0.0007     0.0003          0     0.0013
type66          0.0022     0.0002     0.0004     0.0006     0.0046     0.0015          0     0.0004     0.0015          0     0.0117
type67           0.007          0     0.0014      0.009     0.0025     0.0079          0     0.0042     0.0218          0     0.0006
type68          0.0003          0          0          0     0.0001     0.0004          0     0.0008     0.0007          0          0
type69          0.0011          0     0.0031     0.0008     0.0013     0.0015          0     0.0004          0     0.0012     0.0002
type70               0          0          0          0          0          0          0          0          0     0.0003          0
type71          0.0021     0.0018     0.0004     0.0031     0.0035      0.002          0     0.0026     0.0003     0.0009          0
type72          0.0382     0.0092     0.0336     0.0813     0.0249     0.0278          0     0.0266     0.0214     0.0056     0.0191
type73          0.0028          0     0.0004     0.0014      0.005     0.0038          0     0.0013     0.0003     0.0013     0.0021
type74          0.0012     0.0025          0     0.0005     0.0002     0.0022          0          0     0.0001          0     0.0003
type75            0.01          0     0.0018     0.0104     0.0162     0.0073          0     0.0065     0.0131      0.001     0.0261
type76          0.0158     0.0067     0.0226     0.0406     0.0071     0.0073          0     0.0074     0.0168     0.0263       0.01
type77          0.0278     0.0871     0.0169     0.0032     0.0122     0.0046          0     0.0355          0          0     0.2754
type78          0.0037          0          0     0.0036     0.0101     0.0024          0          0     0.0162          0      0.007
type79          0.0125     0.0008     0.0022     0.0132      0.016       0.01          0     0.0049     0.0942     0.0007     0.0043
type80          0.0012          0          0     0.0002     0.0025     0.0013          0          0          0          0     0.0044
type81          0.0058          0     0.0122     0.0024     0.0018     0.0082          0     0.0012     0.0001     0.0221     0.0082
type82          0.0002          0          0     0.0003     0.0001     0.0003          0          0          0          0          0
type83          0.0274     0.0499      0.005     0.0144     0.0123     0.0403          0     0.0067     0.0273     0.0901     0.0118
type84          0.0022          0     0.0002     0.0012     0.0022     0.0024          0     0.0052     0.0059          0          0
type85               0          0          0     0.0001     0.0001          0          0          0          0          0          0
type86          0.0008          0     0.0023     0.0005     0.0014     0.0009          0          0          0          0      0.001
type87          0.0015          0          0     0.0003          0     0.0029          0          0          0          0     0.0001
type88          0.0002          0          0     0.0004     0.0005     0.0002          0          0     0.0003          0          0
type89               0          0     0.0001          0     0.0001          0          0          0          0     0.0001          0
type90          0.0007          0     0.0021     0.0001     0.0002      0.001          0          0          0     0.0059     0.0001
type91          0.0003          0     0.0005     0.0001          0     0.0004          0          0          0     0.0028          0
type92          0.0086     0.0516     0.2273     0.0021     0.0007     0.0053          0      0.003     0.0069          0     0.0101
type93          0.0015          0     0.0078     0.0007     0.0004     0.0003          0      0.001          0      0.055          0
type94          0.0001          0          0          0          0     0.0001          0          0          0     0.0009          0
type95          0.0064     0.0309          0     0.0041     0.0013     0.0104          0      0.001     0.0055     0.0009          0
